MOLREGNO	CHEMBLID	SOURCE_ID	COMPOUND_NAME	MOLWEIGHT	ALOGP	SERIES_NAME	A1_ASSAY_ID	A1_CHEMBL_ID	A1_STANDARD_TYPE	A1_RELATION	A1_STANDARD_VALUE	A1_STANDARD_UNITS	A2_ASSAY_ID	A2_CHEMBL_ID	A2_STANDARD_TYPE	A2_RELATION	A2_STANDARD_VALUE	A2_STANDARD_UNITS	CANONICAL_SMILES
1386391	CHEMBL2113983	OSM-S-90	1-((1-(4-ethylphenyl)-2,5-dimethyl-1H-pyrrol-3-yl)methyl)piperidine-4-carboxylic acid	340.46	1.08	Arylpyrrole Series	844788	CHEMBL2114000	IC50	>	40000	nM							CCc1ccc(cc1)n2c(C)cc(CN3CCC(CC3)C(=O)O)c2C
1386392	CHEMBL2113984	OSM-S-91	2-(dimethylamino)-2-oxoethyl 1-(4-fluorophenyl)-2,5-dimethyl-1H-pyrrole-3-carboxylate	318.34	2.32	Arylpyrrole Series	844788	CHEMBL2114000	IC50	=	11300	nM							CN(C)C(=O)COC(=O)c1cc(C)n(c1C)c2ccc(F)cc2
1386393	CHEMBL2113985	OSM-S-92	2-amino-2-oxoethyl 1-(4-fluorophenyl)-1H-pyrazole-4-carboxylate	263.22	.97	Arylpyrrole Series	844788	CHEMBL2114000	IC50	>	40000	nM							NC(=O)COC(=O)c1cnn(c1)c2ccc(F)cc2
1386394	CHEMBL2113986	OSM-S-93	1-(4-fluorophenyl)-N,N,2,5-tetramethyl-1H-pyrrole-3-carboxamide	260.31	2.62	Arylpyrrole Series	844788	CHEMBL2114000	IC50	>	40000	nM							CN(C)C(=O)c1cc(C)n(c1C)c2ccc(F)cc2
1386395	CHEMBL2113987	OSM-S-94	1-(4-fluorophenyl)-2,5-dimethyl-3-(pyrrolidin-1-ylmethyl)-1H-pyrrole	272.36	3.74	Arylpyrrole Series													Cc1cc(CN2CCCC2)c(C)n1c3ccc(F)cc3
1386396	CHEMBL2113988	OSM-S-95	1-benzyl-N-((1-(4-fluorophenyl)-2,5-dimethyl-1H-pyrrol-3-yl)methyl)piperidin-4-amine	391.52	4.43	Arylpyrrole Series	844788	CHEMBL2114000	IC50	=	4800	nM							Cc1cc(CNC2CCN(Cc3ccccc3)CC2)c(C)n1c4ccc(F)cc4
1386397	CHEMBL2113989	OSM-S-96	methyl 2-(1-(4-fluorophenyl)-5-methyl-1H-pyrazol-4-yl)oxazole-4-carboxylate	301.27	2.51	Arylpyrrole Series	844788	CHEMBL2114000	IC50	>	40000	nM							COC(=O)c1coc(n1)c2cnn(c2C)c3ccc(F)cc3
1386398	CHEMBL2113990	OSM-S-97	4-(1-(4-fluorophenyl)-2,5-dimethyl-1H-pyrrol-3-yl)-4-oxobutanoic acid	289.3	2.79	Arylpyrrole Series	844788	CHEMBL2114000	IC50	>	40000	nM							Cc1cc(C(=O)CCC(=O)O)c(C)n1c2ccc(F)cc2
1386399	CHEMBL2113991	OSM-S-98	4-(1-(4-fluorophenyl)-2,5-dimethyl-1H-pyrrol-3-yl)-N,N-dimethyl-4-oxobutanamide	316.37	2.57	Arylpyrrole Series	844788	CHEMBL2114000	IC50	>	40000	nM							CN(C)C(=O)CCC(=O)c1cc(C)n(c1C)c2ccc(F)cc2
1386400	CHEMBL2113922	OSM-S-99	1-ethoxy-1-oxopropan-2-yl 1-(4-fluorophenyl)-2,5-dimethyl-1H-pyrrole-3-carboxylate	333.35	3.6	Arylpyrrole Series	844788	CHEMBL2114000	IC50	>	40000	nM							CCOC(=O)C(C)OC(=O)c1cc(C)n(c1C)c2ccc(F)cc2
